rank, p, n, total, time/gen, comm/gen, comp/gen, display/gen, comm/display, sendrecv/gen, barrier/gen
2, 4, 256, 79.083000, 7.908300, 6.784900, 1.123400, 0.001200, 0.012000, 0.005600, 6.779300
3, 4, 256, 79.086000, 7.908600, 6.790500, 1.118100, 0.001000, 0.010000, 6.741000, 0.049500
2, 4, 512, 258.968000, 25.896800, 21.571300, 4.325500, 0.014600, 0.146000, 0.005100, 21.566200
3, 4, 512, 258.955000, 25.895500, 21.490000, 4.405500, 0.013000, 0.130000, 21.469500, 0.020500
1, 4, 512, 259.002000, 25.900200, 21.544100, 4.356100, 0.011800, 0.118000, 21.418300, 0.125800
0, 4, 512, 44.857000, 4.485700, 0.150700, 4.335000, 21.427100, 0.212000, 0.060300, 0.090400
2, 4, 1024, 14943.667000, 149.436670, 135.970540, 13.466130, 0.004760, 0.238000, 0.003150, 135.967390
0, 4, 1024, 1355.425000, 13.554250, 0.070090, 13.484160, 135.887530, 0.417000, 0.004180, 0.065910
1, 4, 1024, 14943.618000, 149.436180, 135.977680, 13.458500, 0.003970, 0.198500, 135.885380, 0.092300
3, 4, 1024, 14943.757000, 149.437570, 135.953980, 13.483590, 0.004240, 0.212000, 135.885330, 0.068650
0, 4, 2048, 8249.358000, 82.493580, 0.114540, 82.379040, 699.465810, 1.393000, 0.109610, 0.004930
3, 4, 2048, 78185.156000, 781.851560, 711.505580, 70.345980, 0.026740, 1.336500, 699.473310, 12.032270
1, 4, 2048, 78184.025000, 781.840250, 711.635050, 70.205200, 0.017590, 0.878500, 699.462410, 12.172640
2, 4, 2048, 78183.357000, 781.833570, 711.516060, 70.317510, 0.016210, 0.810000, 0.016390, 711.499670
0, 8, 8, 13.542000, 0.135420, 0.134580, 0.000840, 0.060010, 0.078000, 0.091090, 0.043490
2, 8, 8, 23.614000, 0.236140, 0.235590, 0.000550, 0.000060, 0.003000, 0.001120, 0.234470
3, 8, 8, 23.611000, 0.236110, 0.235490, 0.000620, 0.000040, 0.002000, 0.064150, 0.171340
7, 8, 8, 19.443000, 0.194430, 0.193330, 0.001100, 0.000150, 0.007500, 0.104280, 0.089050
1, 8, 8, 23.616000, 0.236160, 0.235720, 0.000440, 0.000050, 0.002500, 0.104180, 0.131540
4, 8, 8, 23.518000, 0.235180, 0.234100, 0.001080, 0.000140, 0.007000, 0.102520, 0.131580
5, 8, 8, 22.116000, 0.221160, 0.220080, 0.001080, 0.000190, 0.009000, 0.021810, 0.198270
6, 8, 8, 20.714000, 0.207140, 0.205740, 0.001400, 0.000240, 0.012000, 0.015710, 0.190030
0, 8, 16, 14.390000, 0.143900, 0.142280, 0.001620, 0.005230, 0.122000, 0.097020, 0.045260
3, 8, 16, 19.461000, 0.194610, 0.192340, 0.002270, 0.000050, 0.002000, 0.066460, 0.125880
7, 8, 16, 14.818000, 0.148180, 0.144950, 0.003230, 0.000170, 0.008000, 0.055730, 0.089220
1, 8, 16, 19.468000, 0.194680, 0.193070, 0.001610, 0.000050, 0.002500, 0.053960, 0.139110
4, 8, 16, 19.368000, 0.193680, 0.190220, 0.003460, 0.000290, 0.014000, 0.111140, 0.079080
2, 8, 16, 19.468000, 0.194680, 0.192840, 0.001840, 0.000050, 0.002500, 0.002070, 0.190770
